/name, localName, hexColor, moleculeComposition, state, itemParts, blockParts, int(-1, 0, 1) separation, int(-1, 0, 1) combination
/notes:
/separation/combination flags: -1 = chemical, 1 = physical, 0 is none
/parts: noDust, smelt, gem, conduct*, blast*, machine*, string, semi, wood, stone
/*requires smelt attribute
/states: solid, liquid, gas, plasma, custom
/itemParts are defined in partGroups.txt
/blockParts: ore, dense, poor, none(no ore is added)
/lumium, Lumium, f5e36c, Nn, solid, smeltconductblastmachine, orepoordense, 0, 0
/registration:
/woods:
oak, Oak, #966f35, Nn, solid, wood, none, 0, 0
spruce, Spruce, #734712, Nn, solid, wood, none, 0, 0
birch, Birch, #e0d1a4, Nn, solid, wood, none, 0, 0
jungle, Jungle, #d19e71, Nn, solid, wood, none, 0, 0
acacia, Acacia, #d1732c, Nn, solid, wood, none, 0, 0
dark_oak, Dark-Oak, #472104, Nn, solid, wood, none, 0, 0
/stones:
andesite, Andesite, #d5dbdb, Nn, solid, stone, none, 0, 0
basalt, Basalt, #414d4c, Nn, solid, stone, none, 0, 0
blue_schist, Blue-Schist, #36918e, Nn, solid, stone, none, 0, 0
green_schist, Green-Schist, #3d805f, Nn, solid, stone, none, 0, 0
chalk, Chalk, #ded0ca, Nn, solid, stone, none, 0, 0
dacite, Dacite, #d5dbdb, Nn, solid, stone, none, 0, 0
dolomite, Dolomite, #65705e, Nn, solid, stone, none, 0, 0
eclogite, Ecelogite, #918273, Nn, solid, stone, none, 0, 0
gabbro, Gabbro, #7e7985, Nn, solid, stone, none, 0, 0
gneiss, Gneiss, #595c63, Nn, solid, stone, none, 0, 0
greywacke, Greywacke, #bcc2be, Nn, solid, stone, none, 0, 0
komatiite, komatiite, #dbb856, Nn, solid, stone, none, 0, 0
limestone, Limestone, #bccca3, Nn, solid, stone, none, 0, 0
marble, Marble, #e3e8e7, Nn, solid, stone, none, 0, 0
migmatite, Migmatite, #6e7985, Nn, solid, stone, none, 0, 0
quartzite, Quartzite, #91857d, Nn, solid, stone, none, 0, 0
rhyolite, Rhyolite, #7b877b, Nn, solid, stone, none, 0, 0
shale, Shale, #abadb8, Nn, solid, stone, none, 0, 0
siltstone, Siltstone, #ab8572, Nn, solid, stone, none, 0, 0
soapstone, Soapstone, #c0c9d1, Nn, solid, stone, none, 0, 0
slate, Slate, #454852, Nn, solid, stone, none, 0, 0
red_granite, Red-Granite, #bd8f86, Nn, solid, stone, none, 0, 0
black_granite, Black-Granite, #262321, Nn, solid, stone, none, 0, 0
/mob:
wool, Wool, 15922423, Nn, solid, noDuststring, none, 0, 0
/elements:
/gas
/hydrogen, hydrogen, #ffadc1, Nn, gas, none, none, 0, 0
/nitrogen, nitrogen, #629df0, Nn, gas, none, none, 0, 0
/oxygen, oxygen, #8db1e3, Nn, gas, none, none, 0, 0
/fluorine, fluorine, #d7d975, Nn, gas, none, none, 0, 0
/chlorine, chlorine, #d4e0a6, Nn, gas, none, none, 0, 0
/helium, helium, #e84a4a, Nn, gas, none, none, 0, 0
/neon, neon, #ff3526, Nn, gas, none, none, 0, 0
/argon, argon, #eb9de7, Nn, gas, none, none, 0, 0
/krypton, krypton, #81d2f7, Nn, gas, none, none, 0, 0
/xenon, xenon, #c8dae3, Nn, gas, none, none, 0, 0
/radon, radon, #ff2bf4, Nn, gas, none, none, 0, 0
/liquid:
/bromine, bromine, #ab2507, Nn, liquid, none, none, 0, 0
/mercury, mercury, #8c8280, Nn, liquid, none, none, 0, 0
/ores:
bauxite, Bauxite, 16751481, Nn, solid, none, orepoordense, 0, 0
galena, Galena, 11499702, Nn, solid, none, orepoordense, 0, 0
/solid:
lithium, Lithium, 11844740, Li, solid, smeltblastmachine, orepoordense, 0, 0
beryllium, Beryllium, 994575, Be, solid, smeltblastmachine, orepoordense, 0, 0
boron, Boron, 3554609, B, solid, smeltmachine, none, 0, 0
carbon, Carbon, 4210752, C, solid, none, none, 0, 0
sodium, Sodium, 3217, Na, solid, smeltmachine, none, 0, 0
magnesium, Magnesium, 14262243, Mg, solid, smeltblastmachine, orepoordense, 0, 0
aluminium, Aluminium, 7332333, Al, solid, smeltconductblastmachine, orepoordense, 0, 0
silicon, Silicon, 393267, Si, solid, semismeltblastmachine, none, 0, 0
phosphorus, Phosphorus, 8014087, P, solid, smeltconductblastmachine, orepoordense, 0, 0
sulfur, Sulfur, 10717970, S, solid, smeltconductblastmachine, orepoordense, 0, 0
potassium, Potassium, 13420197, K, solid, smeltconductblastmachine, none, 0, 0
calcium, Calcium, 16773811, Ca, solid, smeltconductblastmachine, none, 0, 0
scandium, Scandium, 6855831, Sc, solid, smeltconductblastmachine, none, 0, 0
titanium, Titanium, 14915803, Ti, solid, smeltconductblastmachine, orepoordense, 0, 0
vanadium, Vanadium, 2435123, V, solid, smeltconductblastmachine, orepoordense, 0, 0
chrome, Chrome, 16638207, Cr, solid, smeltconductblastmachine, orepoordense, 0, 0
manganese, Manganese, 14730719, Mn, solid, smeltconductblastmachine, orepoordense, 0, 0
iron, Iron, 14276569, Fe, solid, smeltconductblastmachine, orepoordense, 0, 0
cobalt, Cobalt, 3232488, Co, solid, smeltconductblastmachine, orepoordense, 0, 0
nickel, Nickel, 15128234, Ni, solid, smeltconductblastmachine, orepoordense, 0, 0
copper, Copper, 16103251, Cu, solid, smeltconductblastmachine, orepoordense, 0, 0
zinc, Zinc, 14345704, Zn, solid, smeltconductblastmachine, orepoordense, 0, 0
gallium, Gallium, 7718826, Ga, solid, smeltconductblastmachine, none, 0, 0
germanium, Germanium, 15398137, Ge, solid, smeltconductblastmachine, none, 0, 0
arsenic, Arsenic, 13620419, As, solid, smeltconductblastmachine, none, 0, 0
selenium, Selenium, 6491662, Se, solid, smeltconductblastmachine, none, 0, 0
rubidium, Rubidium, 8737105, Rb, solid, smeltconductblastmachine, none, 0, 0
strontium, Strontium, 11577476, Sr, solid, smeltconductblastmachine, none, 0, 0
yttrium, Yttrium, 11651499, Y, solid, smeltconductblastmachine, none, 0, 0
zirconium, Zirconium, 11909171, Zr, solid, smeltconductblastmachine, none, 0, 0
niobium, Niobium, 6038635, Nb, solid, smeltconductblastmachine, none, 0, 0
molybdenum, Molybdenum, 12229588, Mo, solid, smeltconductblastmachine, orepoordense, 0, 0
technetium, Technetium, 11661274, Tc, solid, smeltconductblastmachine, none, 0, 0
ruthenium, Ruthenium, 15393767, Ru, solid, smeltconductblastmachine, none, 0, 0
rhodium, Rhodium, 15723243, Rh, solid, smeltconductblastmachine, none, 0, 0
palladium, Palladium, 7218943, Pd, solid, smeltconductblastmachine, none, 0, 0
