/"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Ore Dict keys"
"Advanced Rocketry","advancedrocketry:advbipropellantrocketmotor",4372,0,"false","Advanced Bipropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:advrocketmotor",4371,0,"false","Advanced Monopropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:airlock_door",4401,0,"false","tile.smallAirlockDoor.name",""
"Advanced Rocketry","advancedrocketry:alienleaves",4416,0,"false","Lightwood Leaves","treeLeaves"
"Advanced Rocketry","advancedrocketry:aliensapling",4417,0,"false","Lightwood Sapling","treeSapling"
"Advanced Rocketry","advancedrocketry:alienwood",4415,0,"false","Lightwood Wood","logWood"
"Advanced Rocketry","advancedrocketry:altitudecontroller",4393,0,"false","Altitude Controller",""
"Advanced Rocketry","advancedrocketry:arcfurnace",4341,0,"false","Electric Arc Furnace",""
"Advanced Rocketry","advancedrocketry:asteroidchip",4438,0,"false","Asteroid Chip",""
"Advanced Rocketry","advancedrocketry:atmanalyser",4453,0,"false","Atmosphere Analyzer",""
"Advanced Rocketry","advancedrocketry:basalt",4409,0,"false","Basalt",""
"Advanced Rocketry","advancedrocketry:basiclasergun",4458,0,"false","Basic Laser Gun",""
"Advanced Rocketry","advancedrocketry:beacon",4358,0,"false","Beacon",""
"Advanced Rocketry","advancedrocketry:beaconfinder",4451,0,"false","Beacon Finder",""
"Advanced Rocketry","advancedrocketry:biomechanger",4456,0,"false","Biome Changer Remote",""
"Advanced Rocketry","advancedrocketry:biomescanner",4359,0,"false","Biome Scanner",""
"Advanced Rocketry","advancedrocketry:bipropellantfueltank",4375,0,"false","Bipropellant Fuel Tank",""
"Advanced Rocketry","advancedrocketry:bipropellantrocketmotor",4370,0,"false","Bipropellant Rocket Engine",""
"Advanced Rocketry","advancedrocketry:blackholegenerator",4354,0,"false","Black Hole Generator",""
"Advanced Rocketry","advancedrocketry:blastbrick",4326,0,"false","HeatProof Brick",""
"Advanced Rocketry","advancedrocketry:blocklens",4328,0,"false","Lens",""
"Advanced Rocketry","advancedrocketry:blockpump",4336,0,"false","Fluid Pump",""
"Advanced Rocketry","advancedrocketry:carbonscrubbercartridge",4464,0,"false","Carbon Collection Cartridge",""
"Advanced Rocketry","advancedrocketry:centrifuge",4352,0,"false","Centrifuge",""
"Advanced Rocketry","advancedrocketry:charcoallog",4413,0,"false","Charcoal Log",""
"Advanced Rocketry","advancedrocketry:chemicalreactor",4348,0,"false","Chemical Reactor",""
"Advanced Rocketry","advancedrocketry:circlelight",4404,0,"false","Station Light",""
"Advanced Rocketry","advancedrocketry:concrete",4325,0,"false","Concrete","concrete"
"Advanced Rocketry","advancedrocketry:crystal",4411,0,"true","Violet Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4411,1,"true","Blue Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4411,2,"true","Green Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4411,3,"true","Red Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4411,4,"true","Yellow Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystal",4411,5,"true","Orange Crystal Block",""
"Advanced Rocketry","advancedrocketry:crystallizer",4344,0,"false","Crystallizer",""
"Advanced Rocketry","advancedrocketry:cuttingmachine",4345,0,"false","Cutting Machine",""
"Advanced Rocketry","advancedrocketry:dataunit",4441,0,"true","Data Storage Unit",""
"Advanced Rocketry","advancedrocketry:deployablerocketbuilder",4385,0,"false","Unmanned Vehicle Assembler",""
"Advanced Rocketry","advancedrocketry:drill",4381,0,"false","Drill",""
"Advanced Rocketry","advancedrocketry:electricmushroom",4414,0,"false","Electric Mushroom",""
"Advanced Rocketry","advancedrocketry:electrolyser",4347,0,"false","Electrolyser",""
"Advanced Rocketry","advancedrocketry:elevatorchip",4439,0,"false","Space Elevator Chip",""
"Advanced Rocketry","advancedrocketry:forcefield",4334,0,"false","Force Field",""
"Advanced Rocketry","advancedrocketry:forcefieldprojector",4333,0,"false","Force Field Projector",""
"Advanced Rocketry","advancedrocketry:fuelingstation",4387,0,"false","Fueling station",""
"Advanced Rocketry","advancedrocketry:fueltank",4374,0,"false","Monopropellant Fuel Tank",""
"Advanced Rocketry","advancedrocketry:geode",4410,0,"false","Geode Block",""
"Advanced Rocketry","advancedrocketry:gravitycontroller",4392,0,"false","Station Gravity Controller",""
"Advanced Rocketry","advancedrocketry:gravitymachine",4363,0,"false","Area Gravity Controller",""
"Advanced Rocketry","advancedrocketry:guidancecomputer",4379,0,"false","Guidance Computer",""
"Advanced Rocketry","advancedrocketry:hotturf",4408,0,"false","Oxidized Ferric Sand",""
"Advanced Rocketry","advancedrocketry:hovercraft",4466,0,"false","Hovercraft",""
"Advanced Rocketry","advancedrocketry:ic",4435,0,"true","Basic Circuit",""
"Advanced Rocketry","advancedrocketry:ic",4435,1,"true","Tracking Circuit",""
"Advanced Rocketry","advancedrocketry:ic",4435,2,"true","Advanced Circuit",""
"Advanced Rocketry","advancedrocketry:ic",4435,3,"true","Control Circuit Board",""
"Advanced Rocketry","advancedrocketry:ic",4435,4,"true","Item IO Circuit Board",""
"Advanced Rocketry","advancedrocketry:ic",4435,5,"true","Liquid IO Circuit Board",""
"Advanced Rocketry","advancedrocketry:intake",4380,0,"false","Gas Intake",""
"Advanced Rocketry","advancedrocketry:iquartzcrucible",4461,0,"false","Quartz Crucible",""
"Advanced Rocketry","advancedrocketry:itemcircuitplate",4434,0,"true","Basic Circuit Plate",""
"Advanced Rocketry","advancedrocketry:itemcircuitplate",4434,1,"true","Advanced Circuit Plate",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,0,"true","Hover Upgrade",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,1,"true","Flight Speed Control Upgrade",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,2,"true","Bionic Leg Upgrade",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,3,"true","Padded Landing Boots",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,4,"true","Anti-Fog Visor",""
"Advanced Rocketry","advancedrocketry:itemupgrade",4450,5,"true","Earthbright Visor",""
"Advanced Rocketry","advancedrocketry:jackhammer",4457,0,"false","Jackhammer",""
"Advanced Rocketry","advancedrocketry:jetpack",4452,0,"false","Suit Jetpack",""
"Advanced Rocketry","advancedrocketry:landingfloat",4382,0,"false","Landing Float",""
"Advanced Rocketry","advancedrocketry:landingpad",4366,0,"false","Docking Pad",""
